Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,17.465,6.65,0,top
C2,10u,C_0805_2012Metric,9.525,21.59,0,top
C3,100n,C_0402_1005Metric,10.16,24.13,0,top
C4,75p,C_0402_1005Metric,19.685,18.715,180,top
C5,75p,C_0402_1005Metric,19.685,16.51,0,top
C6,91p,C_0402_1005Metric,17.78,12.7,0,top
C7,91p,C_0402_1005Metric,20.01,12.7,0,top
C8,10u,C_0805_2012Metric,17.145,22.86,90,top
C9,100n,C_0402_1005Metric,16.51,26.035,0,top
C10,62p,C_0402_1005Metric,35.56,24.13,0,top
C11,62p,C_0402_1005Metric,35.56,22.225,0,top
C12,100p,C_0402_1005Metric,35.57,18.715,0,top
C13,100p,C_0402_1005Metric,35.57,16.175,0,top
R1,10k,R_0603_1608Metric,19.24,3.81,180,top
R5,10k,R_0603_1608Metric,7.62,24.13,0,top
R6,10k,R_0603_1608Metric,7.62,26.035,0,top
R7,4.99k,R_0603_1608Metric,10.16,26.67,90,top
R8,25.5k,R_0603_1608Metric,12.7,16.51,0,top
R9,25.5k,R_0603_1608Metric,13.335,13.335,0,top
R10,1.62k,R_0603_1608Metric,16.635,16.51,0,top
R11,1.62k,R_0603_1608Metric,19.985,9.825,0,top
R12,60.4k,R_0603_1608Metric,16.635,18.715,0,top
R13,60.4k,R_0603_1608Metric,16.51,9.825,0,top
R14,20.5k,R_0603_1608Metric,32.385,24.13,0,top
R15,20.5k,R_0603_1608Metric,32.385,18.715,0,top
R16,665,R_0603_1608Metric,32.385,22.225,180,top
R17,665,R_0603_1608Metric,32.385,16.175,0,top
R18,154k,R_0603_1608Metric,35.57,20.32,0,top
R19,150k,R_0603_1608Metric,35.57,14.27,0,top
U1,R_8_ADI,AD8042ARZ-REEL7,6.35,15.875,0,top
U2,RJ_5_ADI,AD8031ARTZ-REEL7,13.335,24.13,0,top
U3,R_8_ADI,AD8042ARZ-REEL7,26.035,26.035,0,top
U4,R_8_ADI,AD8042ARZ-REEL7,26.035,17.78,0,top
